Action,Date,Ad Title/Id,Page/App
Impression,2025/03/10,358082734,quora.com
Impression,2025/03/10,358140174,quora.com
Impression,2025/03/10,485043214,quora.com
Impression,2025/03/10,641291476,mail.yahoo.com
Impression,2025/03/10,94709354,quora.com
Impression,2025/03/11,271486796,newsweek.com
Impression,2025/03/11,358082734,bbc.com
Impression,2025/03/11,358130934,nytimes.com
Impression,2025/03/11,485043214,microsoftcasualgames.com
Impression,2025/03/11,551157223,newsweek.com
Impression,2025/03/11,589589034,newsweek.com
Impression,2025/03/11,589965794,newsweek.com
Impression,2025/03/11,604307586,microsoftcasualgames.com
Impression,2025/03/11,607786726,microsoftcasualgames.com
Impression,2025/03/11,622604856,newsweek.com
Impression,2025/03/11,629335763,newsweek.com
Impression,2025/03/11,636485016,theverge.com
Impression,2025/03/11,93772094,dictionary.com
Impression,2025/03/11,94709274,nytimes.com
Impression,2025/03/11,94709354,latimes.com
Impression,2025/03/12,358082734,nytimes.com
Impression,2025/03/12,358130934,nytimes.com
Impression,2025/03/12,359598514,nypost.com
Impression,2025/03/12,377419276,nypost.com
Impression,2025/03/12,590922403,merriam-webster.com
Impression,2025/03/12,615050773,newsweek.com
Impression,2025/03/12,628613126,merriam-webster.com
Impression,2025/03/12,638416793,newsweek.com
Impression,2025/03/13,126165994,microsoftcasualgames.com
Impression,2025/03/13,359598514,AP news
Impression,2025/03/13,485043214,techcrunch.com
Impression,2025/03/13,591111023,AP news
Impression,2025/03/13,626148553,AP news
Impression,2025/03/13,638421303,newsweek.com
Impression,2025/03/14,126165994,usatoday.com
Impression,2025/03/14,141537854,mysanantonio.com
Impression,2025/03/14,141537854,usatoday.com
Impression,2025/03/14,358140174,mysanantonio.com
Impression,2025/03/14,359598514,mysanantonio.com
Impression,2025/03/14,359598514,nypost.com
Impression,2025/03/14,359598514,usatoday.com
Impression,2025/03/14,485043214,usatoday.com
Impression,2025/03/15,359598514,nypost.com
Impression,2025/03/15,485043214,tomsguide.com
Impression,2025/03/16,126165684,microsoftcasualgames.com
Impression,2025/03/16,126165994,microsoftcasualgames.com
Impression,2025/03/16,126166284,microsoftcasualgames.com
Impression,2025/03/16,141537854,bbc.com
Impression,2025/03/16,141537854,nytimes.com
Impression,2025/03/16,358082674,microsoftcasualgames.com
Impression,2025/03/16,358130934,microsoftcasualgames.com
Impression,2025/03/16,359575694,nypost.com
Impression,2025/03/16,359598514,bbc.com
Impression,2025/03/16,359598514,newsweek.com
Impression,2025/03/16,359598514,nypost.com
Impression,2025/03/16,377419276,Fortune
Impression,2025/03/16,377419276,newsweek.com
Impression,2025/03/16,420555334,microsoftcasualgames.com
Impression,2025/03/16,592472884,newsweek.com
Impression,2025/03/16,615012893,newsweek.com
Impression,2025/03/16,629892723,newsweek.com
Impression,2025/03/17,141537854,aol.com
Impression,2025/03/17,141537854,bbc.com
Impression,2025/03/17,141537854,investopedia.com
Impression,2025/03/17,359575694,newsweek.com
Impression,2025/03/17,359575694,nypost.com
Impression,2025/03/17,359598514,newsweek.com
Impression,2025/03/17,359598514,nypost.com
Impression,2025/03/17,359598514,thehill.com
Impression,2025/03/17,359598514,xAPI Web Test Site
Impression,2025/03/17,377419276,cbsnews.com
Impression,2025/03/18,359575694,nypost.com
Impression,2025/03/18,359598514,nypost.com
Impression,2025/03/18,377419276,nypost.com
Impression,2025/03/18,420517784,microsoftcasualgames.com
Impression,2025/03/18,558956163,microsoftcasualgames.com
Impression,2025/03/19,126165994,microsoftcasualgames.com
Impression,2025/03/19,126166284,microsoftcasualgames.com
Impression,2025/03/19,359598514,newsweek.com
Impression,2025/03/19,359598514,nypost.com
Impression,2025/03/19,636485016,nypost.com
Impression,2025/03/20,359575694,nypost.com
Impression,2025/03/20,359598514,newsweek.com
