Login Date,IP Address,User Agent,Login Type
Thu May 09 14:11:06 UTC 2024,2601:603:f7f:9810:d90d:b5:81df:8913,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",Login
Wed Jun 05 22:22:41 UTC 2024,2601:603:f7f:9810:61f9:1737:5148:a648,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",Login
Sun Jun 09 00:27:40 UTC 2024,2601:603:f7f:add1:0:0:0:76,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Thu Jun 13 20:22:06 UTC 2024,2601:603:f7f:add1:0:0:0:be,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",Login
Fri Jun 14 18:50:47 UTC 2024,2001:4898:80e8:35:664f:7688:60f2:5fec,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0",Login
Wed Jun 19 22:06:17 UTC 2024,2601:603:f7f:add1:0:0:0:be,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",Login
Sun Jul 21 22:09:51 UTC 2024,24.16.152.147,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36 EdgA/126.0.0.0",Login
Tue Sep 10 02:39:30 UTC 2024,24.16.152.147,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Login
Tue Sep 24 19:08:13 UTC 2024,2001:4898:80e8:35:692c:62d1:6cea:da25,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Teams/24256.2502.3123.124 (50)",Login
Wed Oct 02 19:53:44 UTC 2024,2001:4898:80e8:9:a5ab:2f86:d983:7d75,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",Login
Mon Nov 04 15:43:04 UTC 2024,2601:603:f7f:ad8a:0:0:0:2a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",Login
Tue Nov 12 18:45:21 UTC 2024,2607:fb90:ec80:13fb:add8:3f34:72d4:47b0,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Login
Wed Nov 13 01:46:28 UTC 2024,2601:603:f7f:ad8a:0:0:0:fe,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Wed Nov 13 16:15:24 UTC 2024,2601:603:f7f:ad8a:0:0:0:fe,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.4442.6 iPad:18.2,Login
Wed Nov 13 20:06:03 UTC 2024,2607:fb91:15ab:2d80:dc3c:7564:68ce:8be8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.4442.6",Login
Wed Nov 13 20:06:44 UTC 2024,2607:fb91:15ab:2d80:dc3c:7564:68ce:8be8,LinkedIn/9.30.4442.6 CFNetwork/1568.300.101 Darwin/24.2.0,Login
Wed Nov 13 20:06:51 UTC 2024,2607:fb91:15ab:2d80:dc3c:7564:68ce:8be8,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.4442.6 iPad:18.2,Login
Wed Nov 13 20:06:53 UTC 2024,2607:fb91:15ab:2d80:dc3c:7564:68ce:8be8,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.4442.6 iPad:18.2,Login
Wed Nov 13 20:06:55 UTC 2024,2607:fb91:15ab:2d80:dc3c:7564:68ce:8be8,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.4442.6 iPad:18.2,Login
Wed Nov 13 20:06:56 UTC 2024,2607:fb91:15ab:2d80:dc3c:7564:68ce:8be8,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.4442.6 iPad:18.2,Login
Thu Nov 14 02:11:16 UTC 2024,2601:603:f7f:ad8a:0:0:0:2a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",Login
Mon Nov 18 15:54:27 UTC 2024,2a09:bac3:c9de:1537:0:0:21d:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",Login
Mon Nov 18 16:23:33 UTC 2024,2a09:bac3:c9df:1d37:0:0:2e9:74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",Login
Tue Nov 19 21:59:59 UTC 2024,2607:fb91:15c7:141f:1c8a:b72c:bc6c:ae80,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131 Version/11.1.1 Safari/605.1.15",Login
Tue Nov 19 22:08:57 UTC 2024,2607:fb91:15c7:141f:1c8a:b72c:bc6c:ae80,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.4442.6",Login
Tue Nov 19 22:09:07 UTC 2024,2607:fb91:15c7:141f:1c8a:b72c:bc6c:ae80,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.4442.6 iPad:18.2,Login
Wed Nov 20 16:30:06 UTC 2024,2a02:26f7:c34d:81d0:0:0:0:2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",Login
Thu Nov 21 17:48:58 UTC 2024,2a09:bac3:c9d8:119:0:0:1c:25c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Sat Nov 23 15:47:00 UTC 2024,2a02:26f7:c34d:81d0:0:e800:0:0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Sat Nov 23 17:20:00 UTC 2024,2a02:26f7:c34d:81d0:0:e800:0:0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Mon Dec 02 19:13:37 UTC 2024,2607:fb91:1e62:2d2:880a:8162:75d8:a8ee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.4850",Login
Mon Dec 02 19:15:01 UTC 2024,2607:fb91:1e62:2d2:880a:8162:75d8:a8ee,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.4850 iPad:18.2,Login
