Ad clicked Date,Ad Title/Id
2024/12/08 14:11:45 UTC,427698984
2025/06/22 16:30:25 UTC,657738716
2024/12/09 03:00:56 UTC,502883386
2025/06/22 20:27:38 UTC,713434133
2024/12/09 03:07:34 UTC,490904684
2025/06/25 21:19:00 UTC,683820933
2024/12/06 17:38:06 UTC,508026643
2025/07/01 21:44:50 UTC,629053246
2024/12/12 17:54:16 UTC,532348334
2025/07/01 20:13:38 UTC,713434133
2024/12/09 14:52:38 UTC,547444593
2025/07/05 16:46:17 UTC,706342534
2024/12/10 14:18:08 UTC,427698984
2025/07/07 13:58:35 UTC,743932326
2024/12/13 04:05:21 UTC,493757976
2025/07/05 16:15:22 UTC,715184506
2024/12/13 04:33:38 UTC,560991056
2025/07/11 13:44:18 UTC,748204596
2024/12/12 19:26:59 UTC,508026643
2025/07/10 15:53:27 UTC,657738716
2024/12/12 18:53:06 UTC,560991026
2025/07/12 14:40:46 UTC,692869236
2024/12/04 02:56:14 UTC,145111864
2025/07/12 18:42:28 UTC,692869236
2024/12/14 14:16:25 UTC,568439086
2025/07/12 18:42:31 UTC,692869236
2024/12/14 14:17:01 UTC,476592366
2025/07/12 00:07:30 UTC,642905173
2024/12/14 18:42:32 UTC,535399473
2025/07/14 18:25:35 UTC,692869236
2024/12/16 17:46:27 UTC,424051853
2025/07/14 18:25:53 UTC,692869236
2024/12/10 18:20:42 UTC,145111864
2025/07/14 18:25:54 UTC,692869236
2024/12/10 03:11:50 UTC,544845923
2025/07/14 18:25:39 UTC,692869236
2024/12/14 15:55:35 UTC,526953853
2025/07/12 14:07:11 UTC,748185806
2024/12/07 23:11:50 UTC,532388704
2025/07/14 19:35:43 UTC,692869236
2024/12/09 13:31:19 UTC,537362804
2025/07/14 19:35:40 UTC,692869236
2024/12/09 13:31:27 UTC,537362804
2025/07/20 00:14:21 UTC,736807613
2024/12/14 19:55:20 UTC,593839846
2025/07/20 04:03:18 UTC,692869236
2024/12/16 03:20:59 UTC,568480446
2025/02/20 14:02:55 UTC,561573764
2024/12/16 03:21:01 UTC,568480446
2025/02/21 19:00:35 UTC,628401646
2024/12/17 22:35:48 UTC,550475083
2025/02/24 18:54:11 UTC,462709874
2024/12/16 01:15:50 UTC,593839846
2025/02/20 14:03:20 UTC,561573764
2024/12/14 23:14:40 UTC,523693664
2025/02/24 18:50:03 UTC,462709874
2024/12/14 15:12:20 UTC,543512564
2025/02/23 20:20:40 UTC,564505296
2024/12/14 15:12:33 UTC,543512564
2025/03/01 19:53:35 UTC,592490924
2024/12/14 02:13:05 UTC,568480446
2025/03/01 23:15:41 UTC,523184064
2024/12/14 02:13:25 UTC,568280446
2025/03/01 23:15:44 UTC,523184064
2024/12/16 15:10:10 UTC,593839846
2025/03/01 23:15:55 UTC,523184064
2024/12/12 21:51:40 UTC,578066906
2025/03/01 23:16:02 UTC,523184064
2024/12/12 21:52:43 UTC,568480446
2025/02/28 15:02:59 UTC,555628424
2024/12/12 21:52:50 UTC,568480446
2025/03/03 03:15:42 UTC,592490924
2024/12/13 01:22:28 UTC,574754006
2025/03/11 14:52:00 UTC,643436036
2024/12/13 01:22:28 UTC,574754006
2025/03/09 22:00:32 UTC,552725494
2024/12/12 04:29:22 UTC,493757976
2025/03/06 19:10:36 UTC,598592534
2024/12/12 04:29:29 UTC,493757976
2025/03/06 19:10:34 UTC,598592534
2024/12/12 04:29:31 UTC,493757976
2025/03/11 13:07:56 UTC,602182194
2024/12/19 22:18:56 UTC,478520453
2025/03/11 13:08:03 UTC,602182194
2024/12/19 14:41:17 UTC,337662383
2025/03/06 04:24:30 UTC,424051853
2024/12/18 20:35:18 UTC,526981613
2025/03/14 14:33:28 UTC,611529516
2024/12/18 15:04:33 UTC,562878586
2025/03/18 03:19:13 UTC,607412486
2024/12/17 17:11:18 UTC,593839846
2025/03/12 13:40:47 UTC,602182194
2024/12/17 20:24:14 UTC,544479333
2025/03/15 15:33:30 UTC,602182194
2024/12/18 13:21:23 UTC,593839846
2025/03/17 13:30:02 UTC,370350494
2024/12/18 03:39:50 UTC,495159196
2025/03/19 15:59:52 UTC,394678034
2024/12/20 18:34:25 UTC,375465683
2025/03/17 13:29:58 UTC,370350494
2024/12/20 21:55:14 UTC,558887983
2025/03/17 13:30:04 UTC,370350494
2024/12/19 03:22:01 UTC,593839846
2025/03/10 02:23:36 UTC,184852956
2024/12/19 03:22:05 UTC,593839846
2025/03/21 01:19:55 UTC,485043214
2024/12/19 03:22:08 UTC,593839846
2025/03/18 22:48:32 UTC,646431453
2024/12/20 15:02:00 UTC,530932476
2025/03/24 01:59:35 UTC,651772606
2024/12/20 15:02:03 UTC,530932476
2024/11/13 02:15:01 UTC,557532786
2024/12/20 15:02:04 UTC,530932476
2024/11/14 04:19:45 UTC,545953426
2024/12/17 00:11:30 UTC,528682256
2024/11/15 16:56:30 UTC,512020003
2024/12/17 00:28:51 UTC,562878586
2024/11/13 14:19:03 UTC,427698984
2024/12/24 23:14:08 UTC,589140166
2024/11/18 03:56:03 UTC,145111864
2024/12/25 18:05:06 UTC,568480446
2024/11/12 18:46:21 UTC,500825394
2024/12/16 14:16:58 UTC,578282436
2024/11/19 22:44:22 UTC,426645416
2025/01/01 15:27:07 UTC,610683216
2024/11/18 23:15:45 UTC,536462006
2025/01/03 21:21:40 UTC,544813093
2024/11/19 20:21:20 UTC,476592366
2025/01/04 14:34:37 UTC,479929974
